SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
MILLENIA WALK,9,RAFFLES BOULEVARD,MILLENIA WALK,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,039596,30938.8002067907,30555.2769762799,1.29260544462492,103.859724944443,103.859724944443,Millenia Walk
WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23240.3015716588,47157.8967089206,1.44275334327795,103.790548015512,103.790548015512,Woodlands North Plaza
KALLANG WAVE MALL,1,STADIUM PLACE,KALLANG WAVE MALL,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,397628,32432.8422906362,31712.9829503335,1.30307515150401,103.873149707591,103.873149707591,Kallang Wave Mall
MIDPOINT ORCHARD,220,ORCHARD ROAD,MIDPOINT ORCHARD,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,238852,28594.4257633714,31570.5982082132,1.30178778502846,103.838659766022,103.838659766022,Midpoint Orchard
YEW TEE SQUARE,622,CHOA CHU KANG STREET 62,YEW TEE SQUARE,622 CHOA CHU KANG STREET 62 YEW TEE SQUARE SINGAPORE 680622,680622,18414.8746986175,42250.2780946698,1.39836942665376,103.747188486453,103.747188486453,Yew Tee Square
HILLV2,4,HILLVIEW RISE,HILLV2,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,667979,20304.9008575827,38303.2499323208,1.36267450828024,103.76417292006,103.76417292006,HillV2
CAUSEWAY POINT,1,WOODLANDS SQUARE,CAUSEWAY POINT,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,738099,22732.1066652434,46418.9031902999,1.4360700650803,103.785981524253,103.785981524253,Causeway Point
ORCHARD CENTRAL,181,ORCHARD ROAD,ORCHARD CENTRAL,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,238896,28680.6729301102,31465.6765127573,1.30083890839245,103.839434733899,103.839434733899,Orchard Central
GREENRIDGE SHOPPING CENTRE,524A,JELAPANG ROAD,GREENRIDGE SHOPPING CENTRE,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,671524,20533.7299018195,40816.7439803742,1.38540569283271,103.766228468185,103.766228468185,Greenridge Shopping Centre
ROCHESTER MALL,35,ROCHESTER DRIVE,ROCHESTER MALL,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,138639,23006.1702728383,31970.9088191949,1.30540765569962,103.788446680148,103.788446680148,Rochester Mall
DOWNTOWN EAST,1,PASIR RIS CLOSE,DOWNTOWN EAST,1 PASIR RIS CLOSE DOWNTOWN EAST SINGAPORE 519599,519599,41545.7286940152,39878.0294110253,1.37691412455433,103.955036748549,103.955036748549,Downtown East
CAPITOL PIAZZA,13,STAMFORD ROAD,CAPITOL PIAZZA,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,178905,29996.9452433269,30607.61522354,1.29307884763132,103.851261982149,103.851261982149,Capitol Piazza
ADMIRALTY PLACE,677,WOODLANDS AVENUE 6,ADMIRALTY PLACE,677 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730677,730677,24482.0590426456,46785.5494471099,1.43938615380542,103.801706470491,103.801706470491,Admiralty Place
PIONEER MALL,638,JURONG WEST STREET 61,PIONEER MALL,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,640638,12848.6614737436,35983.4657739643,1.34169239214292,103.697174842118,103.697174842118,Pioneer Mall
THE STAR VISTA,1,VISTA EXCHANGE GREEN,THE STAR VISTA,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,138617,23003.2346113659,32143.7136113811,1.30697044038323,103.788420274115,103.788420274115,The Star Vista
CATHAY CINELEISURE ORCHARD,8,GRANGE ROAD,CATHAY CINELEISURE ORCHARD,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,239695,28346.2346228976,31541.100151198,1.30152101873533,103.836429655016,103.836429655016,Cathay Cineleisure Orchard
CHANGI CITY POINT,5,CHANGI BUSINESS PARK CENTRAL 1,CHANGI CITY POINT,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,486038,42423.0269516231,35136.8611284606,1.33403637902708,103.962917615531,103.962917615531,Changi City Point
VELOCITY @ NOVENA SQUARE,238B,THOMSON ROAD,VELOCITY @ NOVENA SQUARE,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,307685,29210.0329662841,33506.505000649,1.31929542501907,103.844191353077,103.844191353077,Velocity@Novena Square
APERIA,10,KALLANG AVENUE,APERIA,10 KALLANG AVENUE APERIA SINGAPORE 339510,339510,31449.4111944707,32531.0590828769,1.3104736675734,103.86431321816,103.86431321816,Aperia
DJITSUN MALL BEDOK,445,BEDOK NORTH STREET 1,DJITSUN MALL BEDOK,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,469661,38710.0881669372,34261.3041274194,1.32611970329469,103.929554495615,103.929554495615,Djitsun Mall Bedok
NORTHPOINT CITY,930,YISHUN AVENUE 2,NORTHPOINT CITY,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098,769098,28273.5290191257,45714.3116263431,1.42969848626288,103.835776491468,103.835776491468,Northpoint City
SUNTEC CITY,,NIL,SUNTEC CITY,SUNTEC CITY,NIL,30811.9339809949,30871.664759526,1.29546675589675,103.858585026016,103.858585026016,Suntec City
CANBERRA PLAZA,133,CANBERRA VIEW,CANBERRA PLAZA,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,750133,27669.1282042367,47239.9100809004,1.44349544527985,103.830345369213,103.830345369213,Canberra Plaza
