Name,LATITUDE,LONGITUDE,Opening year,Opening month
YIO CHU KANG MRT STATION,1.38168259989517,103.844991053696,1987,11
ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,1987,11
BISHAN MRT STATION,1.35131580146658,103.84914026532,1987,11
BRADDELL MRT STATION,1.3404690010277,103.846799083148,1987,11
TOA PAYOH MRT STATION,1.33259672794159,103.847577286075,1987,11
NOVENA MRT STATION,1.32044079120154,103.843825618748,1987,12
NEWTON MRT STATION,1.3123189224097,103.837984594021,1987,12
ORCHARD MRT STATION,1.30242224836722,103.823868523249,1987,12
SOMERSET MRT STATION,1.30026416739006,103.839085753124,1987,12
DHOBY GHAUT MRT STATION,1.29865043818251,103.846156122354,1987,12
CITY HALL MRT STATION,1.29298990700923,103.852542630339,1987,12
RAFFLES PLACE MRT STATION,1.28393326207164,103.851463066756,1987,12
TANJONG PAGAR MRT STATION,1.27656829207824,103.846006679025,1987,12
OUTRAM PARK MRT STATION,1.27973970679335,103.839513521005,1987,12
TIONG BAHRU MRT STATION,1.28612486477108,103.827075901697,1988,3
REDHILL MRT STATION,1.28963453412887,103.81674097205,1988,3
QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,1988,3
COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336,1988,3
BUONA VISTA MRT STATION,1.3072237082044,103.790253514502,1988,3
CLEMENTI MRT STATION,1.31511625277378,103.765191452888,1988,3
JURONG EAST MRT STATION,1.33315261987295,103.742286544006,1988,11
CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621,1988,11
LAKESIDE MRT STATION,1.34425911493819,103.720949087456,1988,11
YISHUN MRT STATION,1.42944308477331,103.835005047246,1988,12
KHATIB MRT STATION,1.41738337009565,103.832979908243,1988,12
MARINA BAY MRT STATION,1.27642735476716,103.854597776754,1989,11
TANAH MERAH MRT STATION,1.32718729074675,103.946348600798,1989,11
BEDOK MRT STATION,1.32040148729112,103.957183823478,1989,11
KEMBANGAN MRT STATION,1.3210381335934,103.912947930851,1989,11
EUNOS MRT STATION,1.31978354916088,103.903225807255,1989,11
PAYA LEBAR MRT STATION,1.317095299237,103.892384846494,1989,11
ALJUNIED MRT STATION,1.3164326118157,103.882906044385,1989,11
KALLANG MRT STATION,1.31148890998818,103.871386541754,1989,11
LAVENDER MRT STATION,1.30737781747063,103.862767633888,1989,11
BUGIS MRT STATION,1.30046508509717,103.855706730933,1989,11
PASIR RIS MRT STATION,1.37300805046319,103.949265083922,1989,12
TAMPINES MRT STATION,1.34551530560119,103.938436971222,1989,12
SIMEI MRT STATION,1.34319707851829,103.953377214378,1989,12
BUKIT BATOK MRT STATION,1.3487108105756,103.749334517338,1990,3
BUKIT GOMBAK MRT STATION,1.35871216207818,103.751883836125,1990,3
CHOA CHU KANG MRT STATION,1.38536316540225,103.744370779756,1990,3
BOON LAY MRT STATION,1.33861033900695,103.706084900902,1990,7
YEW TEE MRT STATION,1.39747594171731,103.747418249132,1996,2
KRANJI MRT STATION,1.42508698073648,103.762137459497,1996,2
MARSILING MRT STATION,1.43252114855026,103.774074641403,1996,2
WOODLANDS MRT STATION,1.43605761708128,103.787938777173,1996,2
ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,1996,2
SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,1996,2
EXPO MRT STATION,1.33538252614956,103.962374747451,2001,1
DOVER MRT STATION,1.31140529320963,103.778637841909,2001,10
CHANGI AIRPORT MRT STATION,1.35747897447692,103.98788356959,2002,2
HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095,2003,6
CHINATOWN MRT STATION,1.28422391919085,103.845143798953,2003,6
CLARKE QUAY MRT STATION,1.28871023151727,103.846610945684,2003,6
LITTLE INDIA MRT STATION,1.3072888243648,103.849922418455,2003,6
FARRER PARK MRT STATION,1.31314029963164,103.854754721344,2003,6
BOON KENG MRT STATION,1.31959679168634,103.861750715496,2003,6
POTONG PASIR MRT STATION,1.33137808528793,103.869363547741,2003,6
SERANGOON MRT STATION,1.35063361526525,103.872771660431,2003,6
KOVAN MRT STATION,1.36017917065237,103.885064856353,2003,6
HOUGANG MRT STATION,1.37129226620797,103.892380513029,2003,6
SENGKANG MRT STATION,1.39169462601522,103.895484694279,2003,6
PUNGGOL MRT STATION,1.41492733388605,103.910166388177,2003,6
BUANGKOK MRT STATION,1.38287001971672,103.893122569706,2006,1
PIONEER MRT STATION,1.33758701106708,103.697321608474,2009,2
JOO KOON MRT STATION,1.32768606129235,103.678345539289,2009,2
BARTLEY MRT STATION,1.34250117805245,103.880177899184,2009,5
LORONG CHUAN MRT STATION,1.35153128621585,103.864812169514,2009,5
MARYMOUNT MRT STATION,1.348707263451,103.839423132332,2009,5
BRAS BASAH MRT STATION,1.29685734391919,103.850836643979,2010,4
ESPLANADE MRT STATION,1.2936577245386,103.855081226245,2010,4
PROMENADE MRT STATION,1.29399798636232,103.860350000188,2010,4
NICOLL HIGHWAY MRT STATION,1.29976684675139,103.86363696572,2010,4
STADIUM MRT STATION,1.3028124684707,103.875337711089,2010,4
MOUNTBATTEN MRT STATION,1.30620190525331,103.882528081052,2010,4
DAKOTA MRT STATION,1.30854798388121,103.889064718377,2010,4
MACPHERSON MRT STATION,1.32615024457361,103.889298600376,2010,4
TAI SENG MRT STATION,1.33502077839157,103.888194498854,2010,4
WOODLEIGH MRT STATION,1.33919004519388,103.87081830915,2011,6
CALDECOTT MRT STATION,1.33724561271722,103.840161782075,2011,10
BOTANIC GARDENS MRT STATION,1.32211373558877,103.814984510627,2011,10
FARRER ROAD MRT STATION,1.31743915158967,103.807379214161,2011,10
HOLLAND VILLAGE MRT STATION,1.31226422601049,103.796470444998,2011,10
ONE-NORTH MRT STATION,1.29973599364922,103.787472120061,2011,10
KENT RIDGE MRT STATION,1.29356390505771,103.784569394529,2011,10
HAW PAR VILLA MRT STATION,1.28256776898814,103.781788386048,2011,10
PASIR PANJANG MRT STATION,1.27621352233766,103.791350313288,2011,10
LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089,2011,10
TELOK BLANGAH MRT STATION,1.27070647717762,103.809761611219,2011,10
BAYFRONT MRT STATION,1.28187378879209,103.859079764874,2012,1
DOWNTOWN MRT STATION,1.27944638178916,103.852840829581,2013,12
TELOK AYER MRT STATION,1.28206894769394,103.848648781083,2013,12
MARINA SOUTH PIER MRT STATION,1.27102703612006,103.862447515736,2014,11
BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252,2015,12
CASHEW MRT STATION,1.36981544925552,103.76443921414,2015,12
HILLVIEW MRT STATION,1.36234486803558,103.767418254007,2015,12
BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778,2015,12
KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233,2015,12
SIXTH AVENUE MRT STATION,1.33096058134451,103.796969279733,2015,12
TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692,2015,12
STEVENS MRT STATION,1.32006555750626,103.826024401924,2015,12
ROCHOR MRT STATION,1.30385218527656,103.852769428884,2015,12
GUL CIRCLE MRT STATION,1.31947090075208,103.660530461345,2017,6
TUAS CRESCENT MRT STATION,1.32102695598684,103.649078235627,2017,6
TUAS WEST ROAD MRT STATION,1.32998504653102,103.639616648771,2017,6
TUAS LINK MRT STATION,1.34088242451105,103.636991425128,2017,6
FORT CANNING MRT STATION,1.29248194822996,103.844331362465,2017,10
BENCOOLEN MRT STATION,1.29891843369422,103.850353762717,2017,10
JALAN BESAR MRT STATION,1.3051713878069,103.855295713435,2017,10
BENDEMEER MRT STATION,1.31367252847691,103.862977620945,2017,10
GEYLANG BAHRU MRT STATION,1.32130110228321,103.871622627142,2017,10
MATTAR MRT STATION,1.32687671501334,103.883247509542,2017,10
UBI MRT STATION,1.32997425973974,103.899226655439,2017,10
KAKI BUKIT MRT STATION,1.33496735995428,103.908459338046,2017,10
BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995,2017,10
BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286,2017,10
TAMPINES WEST MRT STATION,1.34551530560119,103.938436971222,2017,10
TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,2017,10
UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634,2017,10
CANBERRA MRT STATION,1.44307664075699,103.829702590959,2019,11
WOODLANDS NORTH MRT STATION,1.44778217342648,103.7851355073,2020,1
WOODLANDS SOUTH MRT STATION,1.42748811362716,103.792729941333,2020,1
SPRINGLEAF MRT STATION,1.39758106126824,103.817856949947,2021,8
LENTOR MRT STATION,1.38550657972169,103.835743809669,2021,8
MAYFLOWER MRT STATION,1.37146318831015,103.836567766945,2021,8
BRIGHT HILL MRT STATION,1.36384676605097,103.833899206658,2021,8
UPPER THOMSON MRT STATION,1.35441643365401,103.832898468504,2021,8
NAPIER MRT STATION,1.30678223364785,103.818956796815,2022,11
ORCHARD BOULEVARD MRT STATION,1.30362307278619,103.82365038919,2022,11
GREAT WORLD MRT STATION,1.2933164567796,103.833906630914,2022,11
HAVELOCK MRT STATION,1.28850523975311,103.833585838226,2022,11
MAXWELL MRT STATION,1.28053329842878,103.843883670633,2022,11
SHENTON WAY MRT STATION,1.2777168283425,103.850367596067,2022,11
