SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
ADMIRALTY PARK,,NIL,ADMIRALTY PARK,ADMIRALTY PARK,NIL,21968.489475973,47902.6730166357,1.44948858163009,103.779119378589,103.779119378589,Admiralty Park
ANG MO KIO TOWN GARDEN EAST,,NIL,ANG MO KIO TOWN GARDEN EAST,ANG MO KIO TOWN GARDEN EAST,NIL,29909.5281282132,39189.7002596296,1.37069218596975,103.850477038504,103.850477038504,Ang Mo Kio Town Garden East
ANG MO KIO TOWN GARDEN WEST,,NIL,ANG MO KIO TOWN GARDEN WEST,ANG MO KIO TOWN GARDEN WEST,NIL,29071.7194798496,39573.9878475331,1.37416758787361,103.842948749695,103.842948749695,Ang Mo Kio Town Garden West
BEDOK TOWN PARK,,NIL,BEDOK TOWN PARK,BEDOK TOWN PARK,NIL,37908.1250441866,35176.7942847386,1.33439933330273,103.922348727352,103.922348727352,Bedok Town Park
BISHAN - ANG MO KIO PARK (RIVER PLAINS),,NIL,BISHAN - ANG MO KIO PARK (RIVER PLAINS),BISHAN - ANG MO KIO PARK (RIVER PLAINS),NIL,29601.0924101854,38130.6701825932,1.36111471450206,103.847705468769,103.847705468769,Bishan-Ang Mo Kio Park
BUKIT BATOK NATURE PARK,,NIL,BUKIT BATOK NATURE PARK,BUKIT BATOK NATURE PARK,NIL,20307.5543609113,36917.2587388922,1.35014010737608,103.764197119297,103.764197119297,Bukit Batok Nature Park
BUKIT BATOK TOWN PARK,,NIL,BUKIT BATOK TOWN PARK,BUKIT BATOK TOWN PARK,NIL,19364.938369533,37739.7907423899,1.35757852997096,103.755726890477,103.755726890477,Bukit Batok Town Park
BUKIT TIMAH NATURE RESERVE,,NIL,BUKIT TIMAH NATURE RESERVE,BUKIT TIMAH NATURE RESERVE,NIL,21851.8463827493,37391.6343190614,1.35443054655389,103.778073451976,103.778073451976,Bukit Timah Nature Reserve
CENTRAL CATCHMENT NATURE RESERVE,,NIL,CENTRAL CATCHMENT NATURE RESERVE,CENTRAL CATCHMENT NATURE RESERVE,NIL,24481.8368453775,40555.0545904189,1.38303981189267,103.801705234973,103.801705234973,Central Catchment Nature Reserve
CHANGI BEACH PARK,,NIL,CHANGI BEACH PARK,CHANGI BEACH PARK,NIL,46770.0926169362,40521.3374488857,1.38272907017716,104.001981729276,104.001981729276,Changi Beach Park
