SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
CHIJ SAINT JOSEPH'S CONVENT,62,SENGKANG EAST WAY,CHIJ SAINT JOSEPH'S CONVENT,62 SENGKANG EAST WAY CHIJ SAINT JOSEPH'S CONVENT SINGAPORE 548595,548595,35695.0897989292,41518.518049065,1.39175222260369,103.902464991543,103.902464991543,CHIJ St. Joseph's Convent
WOODLANDS RING SECONDARY SCHOOL,10,WOODLANDS RING ROAD,WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD WOODLANDS RING SECONDARY SCHOOL SINGAPORE 738239,738239,24308.6728630271,46465.1933193207,1.43648894729939,103.800148469692,103.800148469692,Woodlands Ring Secondary School
RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,28277.8483209386,30734.1542524323,1.2942232846169,103.835815165829,103.835815165829,River Valley Primary School
COMPASSVALE PRIMARY SCHOOL,21,COMPASSVALE STREET,COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091,545091,35177.2900137762,41816.2900234833,1.39444529636566,103.897812229905,103.897812229905,Compassvale Primary School
WESTWOOD SECONDARY SCHOOL,11,JURONG WEST STREET 25,WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25 WESTWOOD SECONDARY SCHOOL SINGAPORE 648350,648350,13360.360080882,37315.2708597258,1.35373698510994,103.701772102139,103.701772102139,Westwood Secondary School
PUNGGOL COVE PRIMARY SCHOOL,52,SUMANG WALK,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674,828674,35287.5991076548,43713.0898242556,1.41159923273069,103.898803921164,103.898803921164,Punggol Cove Primary School
POI CHING SCHOOL,21,TAMPINES STREET 71,POI CHING SCHOOL,21 TAMPINES STREET 71 POI CHING SCHOOL SINGAPORE 529067,529067,39343.403805064,37747.9291978516,1.35765122315688,103.935246477199,103.935246477199,Poi Ching School
NANYANG PRIMARY SCHOOL,51,CORONATION ROAD,NANYANG PRIMARY SCHOOL,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460,269460,25011.8029676573,33707.7719583772,1.32111548993736,103.806468059795,103.806468059795,Nanyang Primary School
CANTONMENT PRIMARY SCHOOL,1,CANTONMENT CLOSE,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256,088256,28739.4305021614,28660.7930697445,1.27547252623201,103.839962631748,103.839962631748,Cantonment Primary School
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY) SINGAPORE 536742,536742,33764.9220583495,37008.7061571106,1.35096755912522,103.885120050588,103.885120050588,Paya Lebar Methodist Girls' School (Secondary)
ZHONGHUA SECONDARY SCHOOL,13,SERANGOON AVENUE 3,ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3 ZHONGHUA SECONDARY SCHOOL SINGAPORE 556123,556123,32018.8531237943,36725.5640310161,1.34840720846208,103.869430481414,103.869430481414,Zhonghua Secondary School
PEIRCE SECONDARY SCHOOL,10,SIN MING WALK,PEIRCE SECONDARY SCHOOL,10 SIN MING WALK PEIRCE SECONDARY SCHOOL SINGAPORE 575566,575566,27654.7276661592,38743.7738600355,1.36665944653812,103.83021606804,103.83021606804,Peirce Secondary School
HAIG GIRLS' SCHOOL,51,KOON SENG ROAD,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072,427072,35744.037941209,32693.6655622385,1.31194344271383,103.902902557195,103.902902557195,Haig Girls' School
TANJONG KATONG GIRLS' SCHOOL,20,DUNMAN LANE,TANJONG KATONG GIRLS' SCHOOL,20 DUNMAN LANE TANJONG KATONG GIRLS' SCHOOL SINGAPORE 439272,439272,34955.8368231514,32281.1232958212,1.30821274627283,103.895820094229,103.895820094229,Tanjong Katong Girls' School
WEST SPRING PRIMARY SCHOOL,60,BUKIT PANJANG RING ROAD,WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD WEST SPRING PRIMARY SCHOOL SINGAPORE 679946,679946,20530.0971989501,41262.9989389312,1.38944145898943,103.766195711835,103.766195711835,West Spring Primary School
CHUA CHU KANG SECONDARY SCHOOL,3,TECK WHYE CRESCENT,CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT CHUA CHU KANG SECONDARY SCHOOL SINGAPORE 688845,688845,18936.729485549,40571.8260801956,1.38319029263484,103.751878290333,103.751878290333,Chua Chu Kang Secondary School
NEW TOWN SECONDARY SCHOOL,1020,DOVER ROAD,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD NEW TOWN SECONDARY SCHOOL SINGAPORE 139657,139657,21308.1010938296,32453.9625329748,1.30977590011357,103.77318863421,103.77318863421,New Town Secondary School
ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40443.0313903531,39612.4369040336,1.37451269377776,103.945128117139,103.945128117139,Elias Park Primary School
SWISS COTTAGE SECONDARY SCHOOL,3,BUKIT BATOK STREET 34,SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34 SWISS COTTAGE SECONDARY SCHOOL SINGAPORE 659322,659322,18771.7135838792,38529.1941047609,1.36471742697475,103.750396136688,103.750396136688,Swiss Cottage Secondary School
HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,103.844240226564,Huamin Primary School
CHUNG CHENG HIGH SCHOOL (MAIN),50,GOODMAN ROAD,CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) SINGAPORE 439012,439012,34492.1113962689,31935.9858617261,1.30509154753048,103.891653229373,103.891653229373,Chung Cheng High School (Main)
SINGAPORE CHINESE GIRLS' SCHOOL,190,DUNEARN ROAD,SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL SINGAPORE 309437,309437,27426.4538880838,33654.5249451734,1.3206340835184,103.828164966953,103.828164966953,Singapore Chinese Girls' School
SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,463,CLEMENTI ROAD,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,463 CLEMENTI ROAD SINGAPORE UNIVERSITY OF SOCIAL SCIENCES SINGAPORE 599494,599494,21599.3524365146,34505.1225733571,1.32832591914825,103.775805241351,103.775805241351,Singapore University of Social Sciences
KENT RIDGE SECONDARY SCHOOL,147,WEST COAST ROAD,KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368,127368,20384.4722389057,31508.7733694967,1.30122773426098,103.764889617566,103.764889617566,Kent Ridge Secondary School
ANDERSON SECONDARY SCHOOL,10,ANG MO KIO STREET 53,ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206,569206,30029.3897069497,39593.0597646087,1.37434001701177,103.851554107068,103.851554107068,Anderson Secondary School
SAINT JOSEPH'S INSTITUTION INTERNATIONAL,490,THOMSON ROAD,SAINT JOSEPH'S INSTITUTION INTERNATIONAL,490 THOMSON ROAD SAINT JOSEPH'S INSTITUTION INTERNATIONAL SINGAPORE 298191,298191,28877.4865291258,34997.5215271115,1.33277966205662,103.841203293423,103.841203293423,St. Joseph's Institution
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793,579793,30414.9291181238,36835.1167885177,1.34939813669536,103.855018233311,103.855018233311,Kuo Chuan Presbyterian Primary School
EAST SPRING PRIMARY SCHOOL,31,TAMPINES STREET 33,EAST SPRING PRIMARY SCHOOL,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258,529258,42284.8340225685,37198.8184850682,1.35268400746357,103.961676849165,103.961676849165,East Spring Primary School
GUANGYANG PRIMARY SCHOOL,6,BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12 GUANGYANG PRIMARY SCHOOL SINGAPORE 579806,579806,29795.6102129035,36425.0979033671,1.34569011530238,103.849453239895,103.849453239895,Guangyang Primary School
GREENRIDGE PRIMARY SCHOOL,11,JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,677744,20708.0073222192,40870.2050487585,1.3858892193692,103.767794469258,103.767794469258,Greenridge Primary School
BOWEN SECONDARY SCHOOL,2,LORONG NAPIRI,BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529,547529,32934.6156324307,39153.0014795549,1.37035994436209,103.877659577677,103.877659577677,Bowen Secondary School
TAMPINES NORTH PRIMARY SCHOOL,30,TAMPINES AVENUE 9,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 TAMPINES NORTH PRIMARY SCHOOL SINGAPORE 529565,529565,40843.482626386,38060.3925251346,1.36047641484682,103.948725782833,103.948725782833,Tampines North Primary School
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,8,SOMAPAH ROAD,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,8 SOMAPAH ROAD SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN SINGAPORE 487372,487372,42416.5920993574,35815.2679505069,1.3401716369901,103.962860116421,103.962860116421,Singapore University of Technology and Design
BEDOK SOUTH SECONDARY SCHOOL,1,JALAN LANGGAR BEDOK,BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585,468585,41095.5563319344,34152.6950651146,1.32513655159184,103.950989139261,103.950989139261,Bedok South Secondary School
YISHUN TOWN SECONDARY SCHOOL,6,YISHUN STREET 21,YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21 YISHUN TOWN SECONDARY SCHOOL SINGAPORE 768610,768610,28531.4577029087,46004.3591205124,1.43232156717386,103.838094226361,103.838094226361,Yishun Town Secondary School
NANYANG TECHNOLOGICAL UNIVERSITY,71,NANYANG CRESCENT,NANYANG TECHNOLOGICAL UNIVERSITY,71 NANYANG CRESCENT NANYANG TECHNOLOGICAL UNIVERSITY SINGAPORE 637035,637035,11987.8813326219,37375.6961976793,1.35428274373946,103.689439500345,103.689439500345,Nanyang Technological University
NAN HUA HIGH SCHOOL,41,CLEMENTI AVENUE 1,NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 NAN HUA HIGH SCHOOL SINGAPORE 129956,129956,20793.1335141817,32268.1425985936,1.30809529518605,103.768561446725,103.768561446725,Nan Hua High School
PING YI SECONDARY SCHOOL,61,CHAI CHEE STREET,PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET PING YI SECONDARY SCHOOL SINGAPORE 468980,468980,37724.7424694616,34360.4560490176,1.3270167275387,103.920700671987,103.920700671987,Ping Yi Secondary School
NANYANG POLYTECHNIC,150,ANG MO KIO AVENUE 8,NANYANG POLYTECHNIC,150 ANG MO KIO AVENUE 8 NANYANG POLYTECHNIC SINGAPORE 569815,569815,29827.0590414694,40342.6162949912,1.38111875111583,103.849736066713,103.849736066713,Nanyang Polytechnic
SAINT MARGARET'S SECONDARY SCHOOL,111,FARRER ROAD,SAINT MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD SAINT MARGARET'S SECONDARY SCHOOL SINGAPORE 259240,259240,25399.434259722,33591.9655932952,1.32006821363359,103.80995114006,103.80995114006,St. Margaret's Secondary School
NATIONAL UNIVERSITY OF SINGAPORE,2,PRINCE GEORGE'S PARK,NATIONAL UNIVERSITY OF SINGAPORE,2 PRINCE GEORGE'S PARK NATIONAL UNIVERSITY OF SINGAPORE SINGAPORE 118401,118401,22065.0905632423,30532.7102269996,1.29240093319466,103.779990913178,103.779990913178,National University of Singapore
NAN HUA PRIMARY SCHOOL,30,JALAN LEMPENG,NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806,128806,19962.2298404071,33496.2443055101,1.31920159956387,103.761095065761,103.761095065761,Nan Hua Primary School
NORTH SPRING PRIMARY SCHOOL,1,RIVERVALE STREET,NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET NORTH SPRING PRIMARY SCHOOL SINGAPORE 545088,545088,35777.2005732814,40999.8398870248,1.38706146494859,103.903202683028,103.903202683028,North Spring Primary School
SENGKANG SECONDARY SCHOOL,10,COMPASSVALE LANE,SENGKANG SECONDARY SCHOOL,10 COMPASSVALE LANE SENGKANG SECONDARY SCHOOL SINGAPORE 545090,545090,35238.8912931653,40940.0948522743,1.38652129134849,103.898365549236,103.898365549236,Sengkang Secondary School
ENDEAVOUR PRIMARY SCHOOL,10,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,757521,26232.5507349819,48405.7003912628,1.45403837499301,103.817436231731,103.817436231731,Endeavour Primary School
CEDAR GIRLS' SECONDARY SCHOOL,1,CEDAR AVENUE,CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692,349692,32519.9675315833,35105.7372267004,1.33375800216334,103.873933064886,103.873933064886,Cedar Girls' Secondary School
